QE_I27,QE_I28,QE_I29,QE_I30,QE_I31,QE_I32,QE_I33,QE_I34,QE_I35,QE_I36,QE_I37,QE_I38,QE_I39,QE_I40,QE_I41,QE_I42,QE_I43,QE_I44,QE_I45,QE_I46,QE_I47,QE_I48,QE_I49,QE_I50,QE_I51,QE_I52,QE_I53,QE_I54,QE_I55,QE_I56,QE_I57,QE_I58,QE_I59,QE_I60,QE_I61,QE_I62,QE_I63,QE_I64,QE_I65,QE_I66,QE_I67,QE_I68,QE_I23,NOME_CURSO,QE_I25,QE_I14
5,5,2,3,5,5,5,4,5,6,4,4,6,4,6,6,5,5,7,7,2,1,4,6,5,6,6,1,5,6,5,6,5,4,4,6,4,7,7,1,2,7,C,Engenharia Mecânica,H,A
7,6,7,4,6,4,6,7,6,6,6,7,6,7,6,6,4,4,7,7,3,3,6,6,6,7,7,6,6,6,6,6,7,5,6,3,5,3,1,7,7,4,E,Engenharia Mecânica,H,A
4,6,5,4,5,4,6,5,3,4,6,5,4,5,5,5,6,6,6,3,3,3,3,4,4,5,5,6,5,5,5,5,5,6,1,1,1,1,1,1,1,1,A,Engenharia Mecânica,E,A
5,3,2,5,2,6,6,6,1,2,3,5,5,3,4,3,3,3,2,3,2,6,5,6,4,2,6,2,5,6,4,3,5,5,6,3,6,6,7,3,4,5,E,Engenharia Mecânica,H,A
4,3,3,3,3,4,5,4,2,3,2,2,2,1,2,6,6,6,7,1,1,1,1,7,7,1,1,6,3,2,2,2,4,5,5,1,1,5,1,4,1,1,E,Engenharia Mecânica,E,A
3,4,1,3,2,1,2,3,2,3,1,1,4,1,1,6,2,2,2,2,1,1,1,8,8,2,1,1,1,2,3,1,1,2,4,1,1,4,1,1,1,1,E,Engenharia Mecânica,E,B
4,4,4,3,3,5,5,5,5,4,3,3,5,3,4,6,2,2,4,2,3,3,3,8,8,1,1,1,3,4,5,4,3,5,6,2,3,5,8,4,1,2,D,Engenharia Mecânica,E,A
4,4,2,1,2,4,3,2,4,4,2,2,4,4,6,4,4,4,2,1,1,1,3,6,4,6,6,2,3,4,4,4,5,4,4,2,4,4,1,3,1,1,C,Engenharia Mecânica,C,C
5,4,4,4,3,6,4,5,3,3,3,5,4,3,6,6,6,5,4,7,1,1,3,6,6,5,5,1,4,5,6,5,5,5,2,1,1,3,5,3,1,2,C,Engenharia Mecânica,H,A
5,4,5,4,3,5,3,1,2,3,4,4,4,1,4,6,1,1,2,1,2,2,3,6,6,2,1,2,2,5,5,5,5,5,3,2,2,4,5,3,8,3,C,Engenharia Mecânica,A,A
5,4,4,4,5,6,3,2,3,5,4,4,4,4,7,5,5,5,4,3,3,3,5,8,5,3,3,6,5,6,5,5,6,6,6,4,3,5,4,3,1,6,D,Engenharia Mecânica,B,A
6,5,5,5,6,6,6,6,6,6,6,5,5,6,6,6,6,6,6,7,5,5,6,6,6,6,6,6,4,6,5,6,6,6,5,5,5,5,7,6,6,5,C,Engenharia Mecânica,C,A
5,4,3,5,4,6,4,4,3,4,2,4,4,5,5,6,6,6,5,4,4,2,4,5,5,5,5,4,5,6,6,5,4,5,5,3,3,5,1,4,2,3,C,Engenharia Mecânica,E,A
6,6,5,5,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,4,4,6,6,1,6,4,6,5,6,6,6,6,6,3,5,6,3,6,6,6,B,Engenharia Mecânica,E,C
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,B,Engenharia Mecânica,A,A
5,5,5,5,5,5,5,5,5,5,4,4,5,4,5,5,5,5,5,5,4,4,4,7,5,5,4,3,4,5,5,5,5,5,4,5,4,5,3,5,5,5,E,Engenharia Mecânica,E,A
3,3,4,4,5,6,5,5,5,6,2,3,5,2,5,6,6,6,5,5,2,2,3,7,5,2,1,1,3,3,4,5,4,5,5,5,5,5,2,6,2,2,C,Engenharia Mecânica,C,A
3,2,4,2,5,4,4,3,3,4,5,4,4,3,6,4,5,5,3,7,2,2,2,6,5,7,6,3,4,2,3,2,4,6,5,2,2,5,1,5,4,5,B,Engenharia Mecânica,A,B
6,6,4,6,4,5,4,4,2,6,5,3,4,4,6,6,4,4,4,3,5,4,4,7,5,3,2,4,4,5,5,6,5,4,3,2,2,3,1,1,1,2,E,Engenharia Mecânica,A,A
3,3,2,1,1,3,3,2,2,3,1,2,4,2,2,6,4,4,2,2,2,2,3,8,5,5,5,1,8,3,3,3,3,2,3,2,2,2,1,3,2,3,E,Engenharia Mecânica,C,B
4,6,2,2,5,6,6,6,2,4,2,2,2,3,6,6,6,6,3,3,3,5,5,6,6,3,4,1,3,4,3,5,3,5,2,2,4,3,3,5,4,2,D,Engenharia Mecânica,E,A
3,4,2,5,3,6,6,3,5,6,2,4,5,3,5,6,5,4,4,3,3,3,3,7,6,3,3,2,3,4,4,5,4,4,4,4,3,5,1,4,1,3,E,Engenharia Mecânica,E,A
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,E,Engenharia Mecânica,E,A
5,3,5,5,4,6,6,5,5,4,4,4,5,4,5,6,6,6,5,4,1,2,3,5,5,3,6,2,5,5,6,5,6,5,6,4,4,4,1,6,5,6,E,Engenharia Mecânica,B,C
5,7,4,4,6,6,6,6,6,5,5,5,6,7,6,6,6,6,6,7,1,1,5,7,7,7,7,6,6,6,6,6,6,6,6,3,2,6,6,6,2,6,C,Engenharia Mecânica,C,A
1,3,6,2,7,4,5,5,2,4,2,3,4,4,2,6,4,3,3,1,2,7,3,7,7,2,2,1,2,3,3,7,2,3,3,2,3,1,1,3,1,1,C,Engenharia Mecânica,H,A
3,3,2,4,3,5,3,2,4,5,3,1,5,2,2,6,5,3,2,2,3,3,2,3,7,2,2,1,3,3,3,2,2,2,2,1,1,2,1,1,1,2,D,Engenharia Mecânica,A,A
3,2,1,1,4,6,3,1,3,2,1,2,5,1,6,6,5,5,1,1,1,1,3,6,6,1,5,1,1,5,6,6,4,6,4,1,2,1,1,1,1,1,C,Engenharia Mecânica,A,B
3,4,3,4,4,2,4,5,5,4,2,3,4,2,5,5,4,3,3,8,3,1,3,5,5,2,2,1,2,2,2,3,5,5,5,3,3,5,4,4,2,3,C,Engenharia Mecânica,C,A
3,5,1,1,1,6,4,5,4,5,3,3,5,1,5,6,5,5,5,3,2,1,1,6,4,3,3,2,4,4,4,2,1,6,5,2,2,6,1,1,1,5,D,Engenharia Mecânica,E,A
5,4,4,5,5,4,4,5,4,3,4,4,6,2,3,6,4,5,4,3,2,2,2,6,5,2,4,1,3,4,4,2,4,4,1,1,1,3,1,2,1,3,C,Engenharia Mecânica,A,A
3,1,1,1,1,6,3,1,1,1,1,2,2,1,1,6,3,6,3,6,1,1,2,6,5,2,6,2,1,4,2,1,1,4,5,1,1,2,1,1,4,4,E,Engenharia Mecânica,H,B
5,6,6,6,6,6,6,6,4,6,5,5,6,6,6,4,6,6,6,4,4,4,5,7,7,7,6,7,7,5,5,6,6,6,5,6,6,6,8,7,7,4,C,Engenharia Mecânica,E,A
5,3,4,2,5,5,3,5,4,4,4,4,4,5,5,5,2,3,3,2,2,2,4,8,6,2,2,4,4,2,4,4,4,4,3,4,2,2,1,5,2,4,C,Engenharia Mecânica,E,A
5,8,2,1,4,1,4,6,2,7,1,1,2,7,2,3,1,1,1,1,3,3,2,8,7,3,3,1,2,2,1,3,3,2,4,3,3,7,7,8,8,2,C,Engenharia Mecânica,H,A
6,6,3,6,6,6,3,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,E,Engenharia Mecânica,E,A
3,3,2,2,2,5,2,8,4,5,3,3,4,3,3,6,5,3,3,3,3,1,4,4,6,2,2,1,8,3,3,4,3,5,5,2,2,5,1,3,2,4,C,Engenharia Mecânica,A,A
5,5,3,4,4,4,5,5,5,5,4,5,5,3,4,6,4,4,4,3,2,2,2,5,5,3,5,3,4,4,4,4,4,4,4,4,4,5,5,4,4,5,E,Engenharia Mecânica,D,A
2,3,3,2,4,4,3,3,3,3,3,3,3,2,2,6,2,2,2,1,2,2,3,8,5,1,2,1,3,3,6,4,2,3,3,3,3,3,7,1,1,1,B,Engenharia Mecânica,H,A
3,3,3,2,3,5,3,3,3,3,3,2,4,3,4,5,6,4,3,3,1,2,2,8,6,2,2,1,4,5,4,6,4,4,5,3,1,4,8,5,3,3,E,Engenharia Mecânica,E,A
4,2,5,3,5,6,5,5,4,5,4,3,4,2,3,6,2,2,3,8,2,2,3,7,7,2,4,1,3,3,3,4,4,5,4,2,3,5,4,4,3,3,E,Engenharia Mecânica,C,A
4,4,4,5,5,2,5,5,5,5,3,4,5,3,6,6,6,6,6,3,3,2,5,8,6,7,6,3,5,6,6,3,6,5,5,4,4,2,3,2,2,3,C,Engenharia Mecânica,H,A
3,3,2,5,5,5,4,4,6,6,3,3,4,1,3,6,5,5,2,1,2,2,3,6,3,2,6,1,4,3,5,5,5,5,5,5,1,5,2,3,1,2,D,Engenharia Mecânica,A,B
6,6,4,5,5,4,4,4,5,6,6,5,5,4,4,3,4,4,3,2,4,2,3,8,6,2,2,1,5,5,5,4,5,5,5,2,1,3,2,1,1,3,D,Engenharia Mecânica,A,A
4,4,3,3,3,2,4,4,3,5,5,3,3,2,5,6,6,4,4,4,2,1,2,5,6,2,2,2,2,6,6,5,5,6,5,3,5,4,5,4,5,3,C,Engenharia Mecânica,E,A
4,5,6,1,1,1,2,6,1,4,6,2,3,3,2,6,4,3,4,1,1,1,2,5,5,1,6,2,2,4,5,4,2,5,5,1,1,5,1,1,3,3,E,Engenharia Mecânica,E,B
6,5,5,5,5,6,6,6,6,5,5,5,6,5,6,6,6,6,5,7,5,4,4,7,5,4,6,4,6,6,6,5,6,6,6,4,4,5,5,5,8,2,E,Engenharia Mecânica,E,A
5,5,4,4,5,5,4,4,5,5,5,4,4,4,4,6,5,5,4,4,4,2,4,4,4,4,2,2,5,5,4,5,5,5,4,5,4,4,1,2,2,2,C,Engenharia Mecânica,C,A
4,2,4,5,6,6,5,4,3,6,4,3,5,4,4,6,6,6,4,7,3,2,4,7,7,2,2,2,4,6,4,6,6,6,5,6,4,6,1,5,3,4,B,Engenharia Mecânica,A,A
3,7,6,3,7,6,6,5,6,2,6,3,5,8,4,6,6,6,4,3,2,8,8,8,7,5,3,1,4,6,3,3,1,6,4,4,4,3,3,1,2,3,E,Engenharia Mecânica,E,A
4,4,3,1,3,4,3,4,5,4,3,3,3,7,1,4,3,3,3,7,1,1,2,7,7,2,2,2,2,4,3,3,3,3,3,1,1,3,1,3,1,2,C,Engenharia Mecânica,A,A
6,6,6,5,5,6,5,6,5,6,5,5,6,5,6,6,6,4,6,5,4,4,6,6,6,6,5,5,6,6,6,6,6,6,6,6,4,6,8,6,5,5,E,Engenharia,A,A
5,5,4,4,5,5,4,4,4,4,4,4,4,5,5,5,4,3,6,7,4,4,4,4,5,4,7,5,4,5,5,5,5,4,5,4,4,4,3,5,4,5,C,Engenharia,A,A
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,5,6,5,6,6,6,6,6,6,6,6,6,5,7,6,6,6,D,Engenharia,H,A
6,6,6,6,6,6,6,6,6,6,5,6,6,5,6,6,6,6,5,4,6,6,6,6,6,4,4,4,6,6,6,6,6,6,6,6,6,6,7,6,8,6,E,Engenharia,E,A
5,6,6,6,6,5,6,6,6,6,5,4,6,4,6,6,6,6,6,5,5,6,6,5,6,1,1,5,6,6,5,6,6,6,6,6,6,5,4,6,6,4,C,Engenharia,A,A
2,1,2,4,3,5,5,3,2,3,2,3,3,1,2,5,1,1,4,5,2,2,1,7,7,1,1,1,2,3,2,4,5,4,4,1,1,2,7,2,1,5,E,Engenharia,E,A
6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,5,5,5,4,6,5,6,6,6,5,4,5,5,6,6,6,6,6,6,6,6,6,6,6,5,6,E,Engenharia,E,A
5,5,4,4,5,6,4,4,5,5,3,4,5,5,4,6,3,3,6,7,5,4,4,7,7,4,2,2,5,5,5,4,5,6,5,5,5,7,1,5,4,4,C,Engenharia,E,A
6,5,4,4,4,5,5,5,3,6,4,4,3,4,3,4,4,2,3,2,2,4,3,6,6,4,1,3,4,3,4,4,3,4,5,5,4,5,3,3,3,5,C,Engenharia,A,A
5,6,5,5,5,6,5,3,4,5,5,5,6,5,6,6,6,6,5,6,5,5,5,6,6,6,5,6,5,5,5,6,6,6,6,4,4,4,5,5,3,3,B,Engenharia,C,A
5,4,8,3,5,5,8,8,4,4,5,5,5,4,4,5,1,1,4,3,2,2,4,5,5,2,3,2,4,5,5,4,4,5,5,4,4,3,3,4,4,5,C,Engenharia,B,A
5,5,6,6,6,6,5,5,5,5,5,4,5,4,5,5,5,4,5,5,6,6,6,6,6,6,6,4,5,5,5,6,6,6,6,5,6,4,3,6,6,5,E,Engenharia,E,A
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,6,6,6,B,Engenharia,C,A
6,5,5,5,6,6,6,6,5,6,4,5,5,5,5,5,3,3,5,4,4,4,5,6,8,5,5,5,5,6,6,5,5,5,5,2,2,5,5,4,5,5,D,Engenharia,E,A
5,4,4,4,6,5,5,5,5,4,4,5,5,2,4,4,3,2,4,3,2,2,4,8,8,3,8,7,5,5,4,4,4,4,5,8,8,5,4,5,7,4,C,Engenharia,H,A
5,6,5,4,5,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,D,Engenharia,C,A
6,5,3,5,6,6,6,5,6,6,3,4,6,4,6,6,2,2,3,2,4,4,5,7,6,3,3,2,4,6,5,5,6,6,5,3,6,4,1,5,3,3,E,Engenharia,H,A
4,6,4,4,6,4,5,5,5,5,5,5,5,3,2,4,1,1,5,1,4,5,5,5,5,4,4,1,4,4,5,4,4,1,3,5,5,5,5,5,3,2,C,Engenharia,G,A
6,5,2,1,5,6,4,4,6,5,5,3,3,1,6,5,2,2,3,5,1,1,5,3,6,4,3,3,6,6,5,6,6,5,5,3,5,6,7,5,2,5,D,Engenharia,E,A
4,4,4,3,4,2,4,3,5,4,1,2,3,3,3,5,1,1,3,1,2,2,3,5,4,4,6,3,2,3,3,3,2,2,5,4,4,2,1,3,1,1,C,Engenharia,A,B
5,5,6,5,6,4,6,6,5,5,3,5,4,2,6,6,4,5,6,7,5,5,6,6,6,4,3,2,2,6,5,6,6,6,6,4,3,2,1,6,4,4,E,Engenharia,E,A
5,5,4,2,6,1,5,7,4,6,3,6,6,2,6,6,6,4,3,7,3,3,5,7,6,4,4,6,6,6,6,6,6,5,5,5,5,6,6,4,2,4,C,Engenharia,A,A
6,6,5,5,6,5,5,5,5,5,5,5,6,7,6,6,5,6,4,2,4,4,5,5,6,2,4,2,5,5,5,6,3,5,5,5,5,3,1,5,1,2,B,Engenharia,E,A
5,5,4,4,6,5,5,5,5,5,5,5,5,4,6,6,5,5,5,3,5,5,5,8,5,6,6,4,4,4,5,5,3,5,5,3,5,4,3,3,3,4,B,Engenharia,C,B
5,6,5,5,4,5,5,6,4,6,4,6,6,4,4,5,6,6,5,5,4,4,5,3,5,3,6,3,5,6,5,6,6,5,6,5,4,6,6,5,3,3,C,Engenharia,E,B
6,6,5,6,6,6,6,6,6,6,5,5,6,5,6,6,5,6,5,5,5,5,6,7,7,5,5,4,4,5,6,6,5,6,4,4,4,6,4,6,6,1,C,Engenharia,H,A
4,5,4,6,6,5,6,6,3,6,5,5,5,4,6,6,6,6,6,7,5,4,5,5,5,6,6,1,4,6,6,6,1,6,4,3,3,6,1,4,3,2,C,Engenharia,E,A
6,6,5,6,6,6,6,6,6,6,4,4,5,3,6,6,5,5,5,3,5,3,5,8,8,5,5,6,5,5,5,5,5,6,5,4,5,5,7,5,2,4,C,Engenharia,A,A
6,5,5,5,5,4,5,5,6,4,5,6,6,5,6,6,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,B,Engenharia,A,A
4,5,3,2,4,4,5,5,5,5,3,3,4,2,4,6,5,5,3,7,1,1,6,8,8,4,4,2,3,4,5,6,3,5,4,3,5,5,5,5,3,3,C,Engenharia,H,A
6,5,6,6,6,5,6,6,6,6,6,5,5,5,6,6,6,6,5,5,4,4,6,7,7,4,4,5,5,6,6,5,5,6,6,5,4,6,4,6,4,6,D,Engenharia,A,A
6,5,5,6,6,6,4,5,5,6,6,5,6,5,6,6,6,6,6,4,6,5,6,7,7,5,5,2,6,6,6,6,6,6,5,5,6,5,4,5,4,5,D,Engenharia,H,A
5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,4,3,D,Engenharia,H,A
5,7,3,4,5,5,5,5,5,5,5,4,5,4,5,4,4,4,3,7,4,3,4,8,8,2,2,5,5,5,5,5,4,4,4,4,5,4,4,4,4,3,B,Engenharia,H,A
6,7,6,6,6,6,6,4,4,5,5,5,5,1,6,6,1,1,4,1,1,1,5,8,8,5,5,5,6,5,5,2,4,6,5,6,6,3,1,5,3,1,B,Engenharia,B,A
4,5,5,2,4,1,4,5,6,4,4,4,6,4,6,3,5,5,3,3,5,3,5,7,5,4,2,1,3,5,5,6,5,5,4,6,5,5,1,5,2,1,A,Engenharia,E,A
6,5,4,5,6,6,6,6,6,6,5,6,5,5,6,5,6,6,5,4,5,5,5,5,6,4,4,5,6,5,6,5,5,5,5,5,5,5,5,5,3,4,C,Engenharia,E,A
6,6,4,5,4,6,6,6,5,6,4,4,4,3,6,5,6,6,6,5,4,5,4,7,7,3,5,3,6,6,6,4,6,6,6,6,6,6,2,4,4,3,C,Engenharia,H,A
4,5,3,4,5,4,5,4,4,3,3,3,6,3,6,5,2,6,4,2,3,4,4,7,7,7,5,7,5,4,4,5,4,4,5,5,5,5,1,4,2,5,C,Engenharia,G,A
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,E,Engenharia,H,A
6,4,3,3,6,4,5,6,6,6,3,3,5,1,6,6,3,4,4,1,2,2,5,7,7,1,1,1,3,3,5,6,6,6,2,5,3,3,1,4,1,1,E,Engenharia,A,A
5,4,3,1,5,6,6,6,6,4,3,2,3,1,6,6,6,6,6,4,3,1,3,1,2,4,3,8,8,4,4,3,5,4,5,5,4,5,1,8,8,2,C,Engenharia,A,A
5,5,5,6,6,5,6,6,6,6,4,5,5,5,6,6,6,6,6,6,6,4,5,5,6,5,4,7,5,5,6,6,6,6,5,6,6,6,6,5,6,1,C,Engenharia,A,A
5,5,4,5,5,3,5,5,6,5,5,5,5,7,6,6,6,6,6,7,5,5,5,4,5,7,5,3,6,6,6,5,6,6,5,8,8,5,7,8,7,4,C,Engenharia,E,A
6,7,1,6,6,6,6,4,5,7,2,4,6,3,5,6,6,6,5,7,4,3,6,7,6,1,1,1,6,6,6,5,5,4,5,4,5,6,1,1,1,1,E,Engenharia,H,A
4,6,4,6,3,6,5,6,6,4,1,3,4,3,6,6,4,5,4,3,3,3,5,7,6,3,2,1,3,5,6,4,6,5,5,6,6,6,3,3,1,6,D,Engenharia,A,A
5,6,6,5,4,4,5,5,6,6,6,5,5,4,6,6,6,6,6,6,5,3,6,6,6,5,5,3,5,6,6,6,4,5,4,4,4,4,4,5,1,1,E,Engenharia,E,A
4,3,4,4,4,4,4,4,3,3,5,5,5,4,6,5,5,5,5,5,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5,5,5,6,8,6,6,5,C,Engenharia,E,A
4,5,3,2,3,5,3,3,4,5,2,3,5,2,6,5,5,5,4,7,3,2,4,5,5,2,2,2,5,3,5,4,4,4,4,4,3,5,2,3,7,2,E,Engenharia,H,A
4,3,4,4,4,5,5,5,5,5,4,4,5,4,5,6,6,6,5,4,3,3,4,7,7,4,4,3,4,4,4,4,3,4,4,4,4,4,3,4,3,3,B,Engenharia,E,A
6,3,6,6,4,5,4,5,6,5,4,4,6,5,6,6,6,6,5,3,6,5,6,4,5,1,2,4,5,6,6,6,6,6,5,6,6,6,4,6,4,5,C,Engenharia,A,A
6,5,6,5,5,6,5,5,5,5,5,5,5,4,5,5,4,6,4,3,4,2,5,5,5,4,2,4,5,5,5,5,5,4,3,3,3,4,8,5,8,4,D,Engenharia,A,A
6,2,5,6,5,6,5,2,3,6,2,5,5,1,4,5,3,5,1,4,5,5,5,3,6,2,2,1,2,5,5,6,6,3,3,1,4,4,1,1,1,3,E,Engenharia,C,A
6,6,5,5,4,4,5,6,5,5,5,5,5,5,5,6,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,4,5,4,6,4,5,6,1,3,2,3,D,Engenharia,E,A
5,5,4,4,3,6,6,4,5,6,5,6,5,4,6,6,5,6,4,2,5,5,6,8,8,3,4,6,6,6,5,6,5,6,4,6,6,6,1,6,2,4,C,Ciência Da Computação (Bacharelado),E,A
5,5,4,5,3,5,4,3,3,6,4,5,5,3,6,5,6,6,5,3,4,5,4,5,8,3,3,5,5,5,5,6,4,5,1,1,2,2,1,1,2,1,C,Ciência Da Computação (Bacharelado),H,B
5,5,6,6,6,6,5,5,5,6,5,5,4,3,3,6,5,5,5,4,4,5,6,6,6,5,5,5,5,6,6,6,5,4,3,3,3,3,3,5,3,5,E,Ciência Da Computação (Bacharelado),E,A
4,5,2,2,1,6,3,1,4,6,4,2,1,2,5,6,6,6,6,5,5,3,4,1,1,1,5,6,4,4,5,6,6,6,1,3,1,2,1,1,1,1,E,Ciência Da Computação (Bacharelado),E,A
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,C,Ciência Da Computação (Bacharelado),H,A
5,5,5,5,5,5,4,4,4,4,4,4,3,3,6,5,5,5,5,5,5,5,5,7,7,7,6,6,5,5,6,6,6,6,5,4,4,3,5,5,4,3,C,Ciência Da Computação (Bacharelado),A,B
5,4,4,5,4,5,4,4,4,6,5,4,4,5,5,5,6,6,6,4,5,5,5,8,8,3,4,6,5,5,5,5,3,4,4,5,5,4,2,4,1,1,D,Ciência Da Computação (Bacharelado),E,B
5,6,6,3,6,6,4,5,6,6,3,4,3,1,6,6,6,6,3,1,4,1,4,8,8,3,4,6,3,6,5,6,1,6,4,3,3,6,1,4,1,1,C,Ciência Da Computação (Bacharelado),E,A
4,4,3,4,4,6,5,3,4,4,3,4,4,4,5,5,6,6,4,2,5,4,4,6,8,2,2,6,5,5,4,5,3,4,3,4,4,6,5,1,1,3,C,Ciência Da Computação (Bacharelado),A,A
5,5,5,6,6,6,8,6,8,6,3,3,4,3,5,5,6,5,6,7,6,5,6,5,5,6,6,6,6,2,5,6,7,5,4,5,4,4,5,5,1,1,D,Ciência Da Computação (Bacharelado),A,A
5,5,6,6,6,6,6,8,4,6,5,5,6,4,6,6,6,6,6,4,6,5,6,8,8,4,6,6,6,6,6,6,5,6,5,6,5,6,4,6,6,4,C,Ciência Da Computação (Bacharelado),E,A
5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,3,5,5,5,5,4,1,4,3,2,E,Ciência Da Computação (Bacharelado),E,A
6,6,6,6,6,6,6,6,3,6,6,6,4,6,6,6,6,6,5,4,6,6,6,6,8,6,6,6,5,6,6,6,6,6,6,6,6,6,6,5,6,5,D,Ciência Da Computação (Bacharelado),A,B
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,E,Ciência Da Computação (Bacharelado),E,A
5,5,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,5,6,5,6,4,6,6,6,6,6,6,6,6,6,6,5,6,6,6,5,6,5,3,E,Ciência Da Computação (Bacharelado),A,B
4,3,3,5,2,5,3,3,3,6,3,3,3,3,6,6,5,5,3,2,5,5,5,8,8,3,2,6,5,3,5,6,5,5,5,5,5,3,1,2,2,3,E,Ciência Da Computação (Bacharelado),H,A
6,6,6,6,6,6,6,4,6,6,6,6,4,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,4,2,D,Ciência Da Computação (Bacharelado),E,B
4,4,2,4,3,4,3,3,3,4,3,4,4,2,2,4,6,6,6,4,6,6,5,7,5,6,6,4,4,2,4,5,3,5,3,4,3,7,7,4,4,2,C,Ciência Da Computação (Bacharelado),E,B
5,5,5,5,5,6,5,5,5,5,5,5,5,7,5,6,6,6,5,7,5,5,5,5,7,6,6,6,5,5,5,6,5,5,5,5,5,6,7,5,4,4,C,Ciência Da Computação (Bacharelado),C,B
4,5,3,4,6,6,5,5,5,5,6,5,2,5,6,2,6,6,6,4,5,5,5,8,8,6,6,6,5,5,4,6,6,6,3,5,5,7,7,5,5,3,B,Ciência Da Computação (Bacharelado),E,B
4,6,3,4,3,4,4,3,2,6,4,5,5,5,5,3,6,6,6,5,5,5,4,7,5,5,5,5,5,5,6,5,4,5,3,3,3,4,7,3,3,2,A,Ciência Da Computação (Bacharelado),E,B
5,4,5,5,5,6,5,4,4,6,6,5,4,4,6,6,5,5,4,4,6,6,6,6,6,3,3,6,6,6,6,6,6,6,6,6,6,6,7,5,1,5,D,Ciência Da Computação (Bacharelado),C,A
5,6,5,6,5,6,4,4,4,6,5,5,6,5,6,4,6,6,6,4,6,6,6,6,6,6,6,6,5,5,5,6,4,6,4,4,4,4,8,3,3,2,B,Ciência Da Computação (Bacharelado),E,F
6,6,6,6,6,6,6,5,4,6,6,6,6,5,6,6,6,6,6,5,6,5,6,8,8,6,6,6,6,6,6,6,6,6,5,5,6,6,6,6,4,1,E,Ciência Da Computação (Bacharelado),C,A
6,5,6,6,6,6,6,6,5,6,5,6,6,6,6,6,6,6,6,8,4,5,6,6,6,6,6,6,6,6,6,6,6,6,3,3,5,5,3,4,4,5,D,Ciência Da Computação (Bacharelado),E,A
4,3,2,3,2,5,3,3,2,5,5,3,4,4,5,5,6,6,5,1,4,5,5,1,3,5,5,6,4,5,5,5,4,5,4,4,4,4,3,4,1,4,C,Ciência Da Computação (Bacharelado),A,B
6,6,5,5,5,6,5,4,6,5,5,5,3,4,6,6,6,6,6,6,5,6,5,8,8,6,6,6,5,6,5,6,6,6,4,6,5,5,3,5,6,5,B,Ciência Da Computação (Bacharelado),E,A
6,5,4,6,4,6,4,5,4,6,5,4,5,3,6,6,6,6,4,2,6,5,5,6,5,6,6,5,8,5,5,6,6,6,3,5,5,5,1,5,7,1,D,Ciência Da Computação (Bacharelado),E,B
1,5,4,4,4,6,4,4,4,4,4,4,4,5,6,5,6,5,6,6,5,5,6,6,5,6,6,5,5,6,6,6,5,5,5,5,6,6,5,5,6,6,E,Ciência Da Computação (Bacharelado),H,B
6,6,4,5,4,7,4,5,5,5,5,6,6,5,7,7,7,6,6,5,6,6,7,7,7,5,4,7,6,6,6,7,6,6,5,5,7,6,7,4,5,4,C,Ciência Da Computação (Bacharelado),B,A
6,5,5,5,6,6,5,5,4,5,6,5,4,5,6,5,5,6,4,6,6,6,5,8,5,6,5,6,5,5,5,6,6,6,4,6,5,5,7,5,7,3,E,Ciência Da Computação (Bacharelado),H,A
